aggregateRating_starRating	loc
4.71762	33784
4.58725	33834
4.58729	33925
4.58716	33784
4.23735	100210
4.19556	41519
4.20973	41968
4.22814	41824
4.2346	41529
4.23796	41416
4.23734	100916
4.23735	100915
4.20824	41931
4.18613	41559
4.09046	42512
4.1651	42095
4.16482	42104
4.09001	42511
4.07338	42735
3.99469	63692
3.98286	63704
4.00473	63674
4.28904	78996
4.29167	79714
4.28443	61692
4.2825	62569
4.27715	62167
4.27441	61814
4.27697	65881
4.27543	61825
4.28906	79488
4.28746	7890
4.29562	6878
4.29562	6852
4.307	9200
4.2963	9161
4.28205	8791
4.3414	8257
4.33668	8269
4.29179	7943
4.28746	7640
4.29193	7068
4.28621	6899
4.28723	6852
4.2872	6899
4.2967	6876
4.29348	6852
4.32075	9085
4.10398	10441
4.09236	10299
4.11559	9547
4.08762	41898
4.11676	10321
4.11693	9874
4.12538	9547
4.17449	9384
4.19551	9177
4.19086	9080
4.11321	10321
3.99289	4052
4.04739	4052
4.33852	15410
4.34368	15410
4.35077	15410
4.35994	15410
4.48105	15410
4.28418	15410
4.30977	15410
4.33292	15410
4.20505	14438
4.21935	14495
4.22182	14618
4.22714	14499
4.2373	14490
4.24204	11449
4.24213	11353
4.24185	11449
4.1187	13672
4.2043	14411
4.2028	14428
4.11424	13611
4.09037	13733
4.06483	13713
4.05562	13819
4.05601	13676
4.09079	12542
4.0946	8535
4.09784	10149
4.09433	8344
4.12794	13664
4.13849	13753
4.197	14357
4.1799	14345
4.1791	14005
4.17663	14104
4.1637	13814
4.15856	13794
4.15024	13819
4.14373	13784
4.14016	13812
4.67113	34835
4.65592	35737
4.62583	35715
4.61669	35776
4.61836	35831
4.18808	67217
4.18767	67929
4.18802	67179
4.18805	67809
4.18674	69495
4.18675	69464
4.18696	69591
4.18717	68512
4.18731	67810
4.18821	66391
4.1884	66000
4.18931	64682
4.18935	63753
4.18932	63750
4.18959	63782
4.19142	63194
4.18936	63772
4.18722	68454
4.18722	68459
4.18338	71966
4.18417	71144
4.18445	71143
4.18413	70969
4.18494	71175
4.18489	71167
4.18471	71067
4.18599	69903
4.18595	68469
4.18762	68369
4.18765	68581
4.18791	68256
4.18768	68219
4.18787	68233
4.1872	68057
4.18708	68380
4.18258	73729
4.19191	63194
4.19471	49675
4.1948	49707
4.19463	49487
4.19395	49454
4.20203	49603
4.202	47942
4.20061	49595
4.20065	48683
4.1991	47794
4.20556	46909
4.19646	47776
4.21816	46692
4.21157	46352
4.20375	46899
4.21044	46630
4.21455	45741
4.19565	53064
4.19452	52471
4.19204	63249
4.19324	2883
4.19454	62713
4.19681	62539
4.19416	62744
4.19743	62325
4.19735	61726
4.19703	60425
4.19682	59956
4.19673	60487
4.19674	58283
4.19503	57826
4.19682	52429
4.19424	57590
4.19446	57926
4.1967	53564
4.2154	45714
