rating	bug_commits
4.2154	108
4.21455	111
4.21044	74
4.20375	76
4.21157	82
4.21816	751
4.19646	155
4.20556	3
4.1991	8
4.20065	27
4.20061	7
4.202	9
4.20203	19
4.19395	184
4.19463	9
4.1948	39
4.19471	27
4.19565	103
4.19452	136
4.1967	48
4.19446	235
4.19424	7
4.19682	15
4.19503	3
4.19674	10
4.19673	106
4.19682	6
4.19703	24
4.19735	33
4.19743	27
4.19416	45
4.19681	14
4.19454	1
4.19324	71
4.19204	50
4.19191	3
4.18936	148
4.19142	5
4.18959	5
4.18932	67
4.18935	8
4.18931	3
4.1884	113
4.18821	25
4.18731	80
4.18717	3
4.18808	74
4.18767	23
4.18802	3
4.18805	31
4.18674	110
4.18675	24
4.18696	7
4.18722	108
4.18722	7
4.18708	7
4.1872	67
4.18787	19
4.18768	7
4.18791	46
4.18765	21
4.18762	2
4.18595	2
4.18599	20
4.18471	111
4.18489	4
4.18494	5
4.18413	48
4.18445	24
4.18417	6
4.18338	39
4.18258	65
