rating	churn
4.2154	84700
4.21455	39770
4.21044	44675
4.20375	30034
4.21157	27697
4.21816	266341
4.19646	27517
4.20556	22322
4.1991	5120
4.20065	4418
4.20061	11316
4.202	2867
4.20203	8920
4.19395	124665
4.19463	5901
4.1948	46675
4.19471	7625
4.19565	57046
4.19452	42352
4.1967	4131
4.19446	401390
4.19424	1034
4.19682	1436
4.19503	764
4.19674	1409
4.19673	29165
4.19682	211842
4.19703	2951
4.19735	14289
4.19743	13042
4.19416	27442
4.19681	4970
4.19454	1499
4.19324	32415
4.19204	26975
4.19191	172
4.18936	54222
4.19142	231
4.18959	212
4.18932	8581
4.18935	83
4.18931	82
4.1884	56519
4.18821	5649
4.18731	33297
4.18717	643
4.18808	109219
4.18767	1649
4.18802	1208
4.18805	19478
4.18674	33549
4.18675	7491
4.18696	1774
4.18722	110462
4.18722	1936
4.18708	4070
4.1872	45630
4.18787	3987
4.18768	3992
4.18791	31527
4.18765	3373
4.18762	442
4.18595	74
4.18599	7038
4.18471	49300
4.18489	1457
4.18494	2437
4.18413	14229
4.18445	7457
4.18417	512
4.18338	6096
4.18258	14063
