rating	commit_interval
4.2154	1
4.21455	1
4.21044	1
4.20375	1
4.21157	1
4.21816	2
4.19646	1
4.20556	1
4.1991	1
4.20065	1
4.20061	1
4.202	1
4.20203	1
4.19395	1
4.19463	1
4.1948	1
4.19471	1
4.19565	1
4.19452	1
4.1967	1
4.19446	1
4.19424	1
4.19682	1
4.19503	1
4.19674	1
4.19673	1
4.19682	1
4.19703	1
4.19735	1
4.19743	1
4.19416	1
4.19681	1
4.19454	1
4.19324	1
4.19204	1
4.19191	1
4.18936	1
4.19142	1
4.18959	1
4.18932	1
4.18935	1
4.18931	1
4.1884	1
4.18821	1
4.18731	1
4.18717	1
4.18808	1
4.18767	1
4.18802	1
4.18805	1
4.18674	1
4.18675	1
4.18696	1
4.18722	1
4.18722	1
4.18708	1
4.1872	1
4.18787	1
4.18768	1
4.18791	1
4.18765	1
4.18762	1
4.18595	1
4.18599	1
4.18471	1
4.18489	1
4.18494	1
4.18413	1
4.18445	1
4.18417	1
4.18338	1
4.18258	1
