aggregateRating_starRating	commits
4.71762	440
4.58725	213
4.58729	34
4.58716	24
4.23735	2566
4.19556	68
4.20973	59
4.22814	5
4.2346	20
4.23796	3
4.23734	34
4.23735	33
4.20824	2
4.18613	30
4.09046	149
4.1651	77
4.16482	14
4.09001	8
4.07338	99
3.99469	1
3.98286	1
4.00473	290
4.28904	4759
4.29167	37
4.28443	201
4.2825	133
4.27715	24
4.27441	251
4.27697	51
4.27543	177
4.28906	48
4.28746	23
4.29562	3
4.29562	8
4.307	11
4.2963	44
4.28205	57
4.3414	4
4.33668	27
4.29179	5
4.28746	19
4.29193	16
4.28621	2
4.28723	2
4.2872	11
4.2967	548
4.29348	1
4.32075	11
4.10398	66
4.09236	4
4.11559	3
4.08762	11
4.11676	10
4.11693	5
4.12538	15
4.17449	48
4.19551	14
4.19086	43
4.11321	1
3.99289	2
4.04739	4
4.33852	3
4.34368	1
4.35077	1
4.35994	2
4.48105	1444
4.28418	27
4.30977	1
4.33292	1
4.20505	7
4.21935	14
4.22182	11
4.22714	4
4.2373	11
4.24204	13
4.24213	3
4.24185	2
4.1187	3
4.2043	15
4.2028	9
4.11424	14
4.09037	12
4.06483	6
4.05562	12
4.05601	43
4.09079	14
4.0946	9
4.09784	11
4.09433	210
4.12794	7
4.13849	5
4.197	6
4.1799	2
4.1791	6
4.17663	44
4.1637	3
4.15856	8
4.15024	4
4.14373	6
4.14016	2
4.67113	718
4.65592	23
4.62583	33
4.61669	20
4.61836	5
4.18808	309
4.18767	54
4.18802	14
4.18805	124
4.18674	285
4.18675	72
4.18696	17
4.18717	13
4.18731	380
4.18821	62
4.1884	529
4.18931	8
4.18935	16
4.18932	164
4.18959	14
4.19142	9
4.18936	434
4.18722	405
4.18722	28
4.18338	148
4.18417	22
4.18445	83
4.18413	179
4.18494	29
4.18489	29
4.18471	418
4.18599	67
4.18595	7
4.18762	15
4.18765	96
4.18791	197
4.18768	41
4.18787	84
4.1872	188
4.18708	26
4.18258	245
4.19191	8
4.19471	80
4.1948	93
4.19463	41
4.19395	509
4.20203	37
4.202	32
4.20061	27
4.20065	69
4.1991	18
4.20556	15
4.19646	375
4.21816	2198
4.21157	171
4.20375	162
4.21044	237
4.21455	200
4.19565	324
4.19452	372
4.19204	197
4.19324	249
4.19454	16
4.19681	63
4.19416	174
4.19743	78
4.19735	106
4.19703	63
4.19682	36
4.19673	386
4.19674	53
4.19503	13
4.19682	24
4.19424	34
4.19446	708
4.1967	141
4.2154	363
