rating	commits
4.2154	363
4.21455	200
4.21044	237
4.20375	162
4.21157	171
4.21816	2198
4.19646	375
4.20556	15
4.1991	18
4.20065	69
4.20061	27
4.202	32
4.20203	37
4.19395	509
4.19463	41
4.1948	93
4.19471	80
4.19565	324
4.19452	372
4.1967	141
4.19446	708
4.19424	34
4.19682	24
4.19503	13
4.19674	53
4.19673	386
4.19682	36
4.19703	63
4.19735	106
4.19743	78
4.19416	174
4.19681	63
4.19454	16
4.19324	249
4.19204	197
4.19191	8
4.18936	434
4.19142	9
4.18959	14
4.18932	164
4.18935	16
4.18931	8
4.1884	529
4.18821	62
4.18731	380
4.18717	13
4.18808	309
4.18767	54
4.18802	14
4.18805	124
4.18674	285
4.18675	72
4.18696	17
4.18722	405
4.18722	28
4.18708	26
4.1872	188
4.18787	84
4.18768	41
4.18791	197
4.18765	96
4.18762	15
4.18595	7
4.18599	67
4.18471	418
4.18489	29
4.18494	29
4.18413	179
4.18445	83
4.18417	22
4.18338	148
4.18258	245
