rating	devs
4.2154	8
4.21455	6
4.21044	4
4.20375	6
4.21157	4
4.21816	38
4.19646	5
4.20556	4
4.1991	3
4.20065	5
4.20061	4
4.202	4
4.20203	4
4.19395	7
4.19463	5
4.1948	4
4.19471	6
4.19565	6
4.19452	5
4.1967	5
4.19446	8
4.19424	4
4.19682	3
4.19503	3
4.19674	3
4.19673	5
4.19682	3
4.19703	3
4.19735	4
4.19743	6
4.19416	5
4.19681	4
4.19454	5
4.19324	6
4.19204	5
4.19191	2
4.18936	5
4.19142	3
4.18959	5
4.18932	8
4.18935	2
4.18931	3
4.1884	10
4.18821	7
4.18731	12
4.18717	5
4.18808	12
4.18767	7
4.18802	5
4.18805	7
4.18674	10
4.18675	6
4.18696	6
4.18722	8
4.18722	6
4.18708	6
4.1872	7
4.18787	6
4.18768	7
4.18791	6
4.18765	5
4.18762	3
4.18595	3
4.18599	6
4.18471	8
4.18489	4
4.18494	5
4.18413	6
4.18445	7
4.18417	6
4.18338	7
4.18258	11
